group_type,segment,metric_type,model,n,positive_rate,logloss,brier,precision_05,recall_05,roc_auc,pr_auc,rmsle,delta_vs_base
normalized_recency,<0.5,rmsle,R0_TWO_PART,222898,0.7583513535339034,,,,,,,1.8646906755034034,0.10723196239236388
normalized_recency,<0.5,rmsle,CLOCK_REPLACE,222898,0.7583513535339034,,,,,,,1.7569633461081713,-0.00049536700286823
normalized_recency,<0.5,rmsle,CLOCK_META,222898,0.7583513535339034,,,,,,,1.7570788466291878,-0.00037986648185173166
normalized_recency,0.5-1,classification,R0,111986,0.7241619488150305,0.49161818965796034,0.16363870677139822,0.7648589674293836,0.9422659563973562,0.7831528970073413,0.9056461760143648,,
normalized_recency,0.5-1,classification,CLOCK,111986,0.7241619488150305,0.46504622605142143,0.15477046845841197,0.805556175387705,0.8903275130709283,0.8023520263886854,0.9158572861118559,,
normalized_recency,0.5-1,classification,EXISTING_B30,111986,0.7241619488150305,0.4602936875381922,0.15282728600273832,0.8026882722478649,0.9028065502614185,0.8079235310257245,0.9181797840406156,,
normalized_recency,0.5-1,rmsle,BASE,111986,0.7241619488150305,,,,,,,1.794208753433846,0.0
normalized_recency,0.5-1,rmsle,CLOCK_TWO_PART,111986,0.7241619488150305,,,,,,,1.8032539672358687,0.009045213802022722
normalized_recency,0.5-1,rmsle,R0_TWO_PART,111986,0.7241619488150305,,,,,,,1.8431960256605957,0.0489872722267497
normalized_recency,0.5-1,rmsle,CLOCK_REPLACE,111986,0.7241619488150305,,,,,,,1.793544205994716,-0.0006645474391300255
normalized_recency,0.5-1,rmsle,CLOCK_META,111986,0.7241619488150305,,,,,,,1.793854387900053,-0.0003543655337929774
normalized_recency,1-1.5,classification,R0,66514,0.7020025859217608,0.5168494662973837,0.17436211579379926,0.7250522256146553,0.9663118668751205,0.7672654819346447,0.8875065523034036,,
normalized_recency,1-1.5,classification,CLOCK,66514,0.7020025859217608,0.49191748313974,0.1648902610903769,0.7902703750363407,0.8732358169318741,0.7885196683101974,0.8998542557964002,,
normalized_recency,1-1.5,classification,EXISTING_B30,66514,0.7020025859217608,0.4873024927692275,0.16304692841164106,0.784467746820109,0.8876062793138157,0.7940846009214202,0.9025372314959769,,
normalized_recency,1-1.5,rmsle,BASE,66514,0.7020025859217608,,,,,,,1.8355699060410777,0.0
normalized_recency,1-1.5,rmsle,CLOCK_TWO_PART,66514,0.7020025859217608,,,,,,,1.8441191005884965,0.00854919454741876
normalized_recency,1-1.5,rmsle,R0_TWO_PART,66514,0.7020025859217608,,,,,,,1.8870876650349284,0.05151775899385069
normalized_recency,1-1.5,rmsle,CLOCK_REPLACE,66514,0.7020025859217608,,,,,,,1.8348658824621835,-0.0007040235788942084
normalized_recency,1-1.5,rmsle,CLOCK_META,66514,0.7020025859217608,,,,,,,1.8352818752200362,-0.00028803082104156275
normalized_recency,1.5-2,classification,R0,51375,0.7095669099756691,0.5364843509499579,0.17618676116511806,0.7274117865928024,0.9653261644812641,0.7479673253403533,0.8702111357689918,,
normalized_recency,1.5-2,classification,CLOCK,51375,0.7095669099756691,0.4869801217679765,0.1628943582183645,0.7931770251829798,0.8769682339386624,0.7888781365071419,0.9028575127501494,,
normalized_recency,1.5-2,classification,EXISTING_B30,51375,0.7095669099756691,0.4817839735767276,0.16095185901033504,0.7886099917463708,0.8911504910297909,0.7945628776286919,0.9058293934972177,,
normalized_recency,1.5-2,rmsle,BASE,51375,0.7095669099756691,,,,,,,1.8341188357455722,0.0
normalized_recency,1.5-2,rmsle,CLOCK_TWO_PART,51375,0.7095669099756691,,,,,,,1.8442263639907526,0.010107528245180353
normalized_recency,1.5-2,rmsle,R0_TWO_PART,51375,0.7095669099756691,,,,,,,1.9003041985843463,0.06618536283877408
normalized_recency,1.5-2,rmsle,CLOCK_REPLACE,51375,0.7095669099756691,,,,,,,1.833618192184446,-0.0005006435611261129
normalized_recency,1.5-2,rmsle,CLOCK_META,51375,0.7095669099756691,,,,,,,1.8339147356946803,-0.00020410005089188665
normalized_recency,2+,classification,R0,182713,0.6147510029390355,0.6183706602179273,0.20423419035162882,0.7162752483140675,0.7839089055669809,0.7247106194818637,0.802675679846056,,
normalized_recency,2+,classification,CLOCK,182713,0.6147510029390355,0.5593110667738064,0.19127238225413565,0.7463116475641015,0.7750683297276604,0.7601940342255987,0.8404071926932212,,
normalized_recency,2+,classification,EXISTING_B30,182713,0.6147510029390355,0.5517858356784829,0.18810968096879052,0.7418591271472015,0.8035932088708457,0.7690294775244415,0.8460534787962715,,
normalized_recency,2+,rmsle,BASE,182713,0.6147510029390355,,,,,,,1.9065793724035323,0.0
normalized_recency,2+,rmsle,CLOCK_TWO_PART,182713,0.6147510029390355,,,,,,,1.9215028804633407,0.014923508059808466
normalized_recency,2+,rmsle,R0_TWO_PART,182713,0.6147510029390355,,,,,,,1.9761000396831823,0.06952066727965
normalized_recency,2+,rmsle,CLOCK_REPLACE,182713,0.6147510029390355,,,,,,,1.9061425614315775,-0.0004368109719548041
normalized_recency,2+,rmsle,CLOCK_META,182713,0.6147510029390355,,,,,,,1.9064966036339994,-8.276876953283718e-05
