model,fold,bin,n,mean_pred,positive_rate,abs_error,p_min,p_max
CLOCK,2025-10-02,5,19369,0.5691098742722862,0.594300170375342,0.025190296103055787,0.5135842561721802,0.6247442960739136
CLOCK,2025-10-02,6,19369,0.6795738101177884,0.6946667355051886,0.015092925387400258,0.624764621257782,0.7326858043670654
CLOCK,2025-10-02,7,19369,0.7814101322279834,0.7938458361298983,0.012435703901914952,0.73268723487854,0.8266724348068237
CLOCK,2025-10-02,8,19369,0.8660234745098161,0.8726831534926945,0.0066596789828784475,0.826675295829773,0.9028370380401611
CLOCK,2025-10-02,9,19369,0.9342591696903452,0.9377871857091228,0.0035280160187776133,0.9028394222259521,0.9629149436950684
CLOCK,2025-10-02,10,19369,0.9845740799443748,0.986266714853632,0.0016926349092571957,0.9629232287406921,0.9984744787216187
CLOCK,2025-10-16,1,19738,0.11469264328479767,0.11612118755699666,0.0014285442721989894,0.11469264328479767,0.11469264328479767
CLOCK,2025-10-16,2,19738,0.23722024767842018,0.25189988853987233,0.014679640861452153,0.11469264328479767,0.30073192715644836
CLOCK,2025-10-16,3,19738,0.3552189501452946,0.3825615563886919,0.027342606243397294,0.30073440074920654,0.4077932834625244
CLOCK,2025-10-16,4,19738,0.46185925698187325,0.4931604012564596,0.03130114427458636,0.4077944755554199,0.518945574760437
CLOCK,2025-10-16,5,19738,0.5750954860140215,0.6008714155436214,0.02577592952959995,0.5189492106437683,0.6317449808120728
CLOCK,2025-10-16,6,19738,0.6877495446053183,0.6937886310669774,0.006039086461659071,0.6317511200904846,0.7413241863250732
CLOCK,2025-10-16,7,19738,0.790361891620028,0.7870604924511095,0.003301399168918473,0.7413265705108643,0.8357799053192139
CLOCK,2025-10-16,8,19738,0.873581732804561,0.8763805856723073,0.002798852867746282,0.8357917070388794,0.9086036682128906
CLOCK,2025-10-16,9,19738,0.9398367454220742,0.9400141858344311,0.00017744041235689956,0.9086044430732727,0.9677839875221252
CLOCK,2025-10-16,10,19737,0.9864844855472431,0.9867761057911537,0.00029162024391060637,0.967786431312561,0.9985387921333313
EXISTING_B30,OOF,1,77062,0.13697161401318003,0.11141678129298486,0.025554832720195167,0.027807634323835373,0.2006140500307083
EXISTING_B30,OOF,2,77062,0.2642622218584016,0.24546469076847213,0.01879753108992946,0.2006140798330307,0.326252281665802
EXISTING_B30,OOF,3,77062,0.38590222600486757,0.3758402325400327,0.010061993464834884,0.3262592554092407,0.4443296790122986
EXISTING_B30,OOF,4,77062,0.4984538820860917,0.48746463886221486,0.010989243223876843,0.44433170557022095,0.5505697727203369
EXISTING_B30,OOF,5,77062,0.6000609283454258,0.5908099971451558,0.009250931200269985,0.5505701303482056,0.6485899686813354
EXISTING_B30,OOF,6,77062,0.6952633786870059,0.6918844566712518,0.003378922015754182,0.6485912799835205,0.7415703535079956
EXISTING_B30,OOF,7,77061,0.7857303909205302,0.7889723725360429,0.0032419816155127013,0.741572916507721,0.8281416296958923
EXISTING_B30,OOF,8,77061,0.8661654755273774,0.8707906723245221,0.004625196797144682,0.8281419277191162,0.9024162888526917
EXISTING_B30,OOF,9,77061,0.9346200364301915,0.9401513087034946,0.005531272273303078,0.9024163484573364,0.9636238813400269
EXISTING_B30,OOF,10,77061,0.9846087225218816,0.9875034063923386,0.0028946838704569933,0.9636241793632507,0.999278724193573
EXISTING_B30,2025-09-04,1,18852,0.13582580681785913,0.11112879270103967,0.02469701411681946,0.030031749978661537,0.19810783863067627
EXISTING_B30,2025-09-04,2,18852,0.2620030355776302,0.24061107574793125,0.021391959829698964,0.19810818135738373,0.3238428831100464
EXISTING_B30,2025-09-04,3,18852,0.3829724579502538,0.3650541056651814,0.01791835228507238,0.32384419441223145,0.44123685359954834
EXISTING_B30,2025-09-04,4,18852,0.49605214632312483,0.4750689582007214,0.020983188122403407,0.4412413537502289,0.5489987134933472
EXISTING_B30,2025-09-04,5,18852,0.598386524125393,0.5797262889879058,0.018660235137487158,0.549001932144165,0.6458941102027893
EXISTING_B30,2025-09-04,6,18852,0.6913793868834417,0.6747825164438787,0.01659687043956304,0.6459108591079712,0.7367842197418213
EXISTING_B30,2025-09-04,7,18852,0.7804360653238389,0.7793337576914916,0.0011023076323473102,0.7367914915084839,0.8231812715530396
EXISTING_B30,2025-09-04,8,18852,0.8620840256447603,0.8569382558879695,0.005145769756790819,0.8232028484344482,0.8991745114326477
EXISTING_B30,2025-09-04,9,18851,0.9317528640842584,0.9331600445599703,0.0014071804757118667,0.8991798162460327,0.9616971611976624
EXISTING_B30,2025-09-04,10,18851,0.9836830632021735,0.9860484854914858,0.0023654222893123578,0.9616973996162415,0.999278724193573
EXISTING_B30,2025-09-18,1,19103,0.13840311464086658,0.11380411453698372,0.024599000103882857,0.03228866681456566,0.2024690955877304
EXISTING_B30,2025-09-18,2,19103,0.2670220256636469,0.24865204418154216,0.018369981482104752,0.2024797648191452,0.32931724190711975
EXISTING_B30,2025-09-18,3,19103,0.38876536136109596,0.37962623671674606,0.009139124644349905,0.32931986451148987,0.4469457268714905
EXISTING_B30,2025-09-18,4,19103,0.5008774459025052,0.48751504999214784,0.013362395910357316,0.4469546973705292,0.5524579286575317
EXISTING_B30,2025-09-18,5,19103,0.6010955829199263,0.5928388211275716,0.008256761792354683,0.5524626970291138,0.6482287049293518
EXISTING_B30,2025-09-18,6,19102,0.6942884844300036,0.6956863155690504,0.0013978311390467901,0.6482381820678711,0.7405932545661926
EXISTING_B30,2025-09-18,7,19102,0.7847236816845143,0.7862527484033085,0.0015290667187941587,0.7406091690063477,0.8269487023353577
