outer_fold,cell,n_donor,residual_mean,shrinkage,correction
2025-09-18,35,17543,-2.7137333838490143,0.4672775217750313,-1.2680666103631373
2025-09-18,36,12267,-3.2039489169400928,0.3801716924411938,-1.2180506822482449
2025-09-18,37,7497,-3.7278339262955136,0.2726479252282067,-1.0163861855997915
2025-09-18,38,3743,-4.3430326810328985,0.15764646422103357,-0.6846637461612323
2025-09-18,39,1060,-5.154745709171311,0.050332383665717,-0.2594506387332189
2025-09-18,110,5794,3.01651348245846,0.22462588198805924,0.6775870015261036
2025-09-18,111,12700,2.5715360871607262,0.38837920489296635,0.9987311408850528
2025-09-18,112,19358,2.1497300397551795,0.4918440977691956,1.057332031850723
2025-09-18,113,24908,1.768471103643248,0.5546450521065289,0.9808737474290999
2025-09-18,114,30384,1.4158685183988045,0.6030485868529692,0.8538375091900062
2025-09-18,115,35268,1.1066954765388484,0.6381269450676703,0.7062122035639449
2025-09-18,116,39290,0.8002539342600425,0.662674987350312,0.5303082657628111
2025-09-18,117,42835,0.503314493160829,0.6817060555422934,0.3431125378299373
2025-09-18,118,44589,0.24825279136257045,0.690349749957423,0.17138125244338281
2025-09-18,119,42296,0.05228875779282744,0.6789520996532683,0.03550156189170139
2025-09-18,120,302,2.803216837804403,0.014875381735789577,0.04169892055053343
2025-09-18,121,761,2.413245445015468,0.0366552670873272,0.08845815633431776
2025-09-18,122,1038,1.8898725153470226,0.04933929080711094,0.09324496962307298
2025-09-18,123,1213,1.5501462547863116,0.05718191674916325,0.08864033409021807
2025-09-18,124,1278,1.0330306244474932,0.06006203590563023,0.06204592245718094
2025-09-18,125,1183,0.662948513958901,0.05584666949912666,0.0370234665539999
2025-09-18,126,1004,0.26787320554993554,0.04780041896781565,0.012804451455538721
2025-09-18,127,807,-0.06072302652007861,0.038785024270678134,-0.002355144057370281
2025-09-18,128,480,-0.40583902783093023,0.0234375,-0.009511852214787429
2025-09-18,129,227,-0.793241558837536,0.01122262322638058,-0.00890225114234047
2025-09-18,182,1,0.7350627167738681,4.999750012499375e-05,3.675129827377972e-05
2025-09-18,183,7,1.0498593555571774,0.000349877542859999,0.00036732221167092726
2025-09-18,184,1,2.2718647369101093,4.999750012499375e-05,0.00011358755746763208
2025-09-18,185,2,0.9778090237678998,9.999000099990002e-05,9.777112526426356e-05
2025-09-18,186,1,-0.3862741453813272,4.999750012499375e-05,-1.931274163198476e-05
2025-09-18,187,4,0.10587790833530242,0.0001999600079984003,2.117134739758097e-05
2025-09-18,188,3,-0.478480482115134,0.00014997750337449384,-7.176130812105194e-05
2025-09-18,189,2,-1.4777099853446602,9.999000099990002e-05,-0.0001477562229121748
2025-09-18,190,9,4.080332092993611,0.0004497975910840122,0.0018353235462513122
2025-09-18,191,24,3.542079249382206,0.0011985617259288853,0.004245400618516427
2025-09-18,192,45,3.5586561905088336,0.0022449488650536295,0.007989001175998878
2025-09-18,193,47,3.016393863838058,0.002344490447448496,0.0070719065995105855
2025-09-18,194,90,2.9325332873716756,0.004479840716774514,0.01313728202406425
2025-09-18,195,91,2.182467098085487,0.004529391269722761,0.009885247420525574
2025-09-18,196,106,1.7433103654631412,0.005272058092111807,0.009190833519302347
2025-09-18,197,112,1.422445208088119,0.005568814638027049,0.007921333696592548
2025-09-18,198,95,0.8800166529754601,0.004727544165215228,0.00416031759306637
2025-09-18,199,59,0.6497719355474314,0.0029413230968642506,0.001911189201719849
2025-09-18,200,84,3.9398884134174854,0.0041824337781318464,0.016478322382347577
2025-09-18,201,238,3.242733913978034,0.011760055341436901,0.03813473028593596
2025-09-18,202,453,2.81869760481946,0.022148340096807315,0.06242947318159759
2025-09-18,203,632,2.4457672666477945,0.030632027917797598,0.07491881119239076
2025-09-18,204,894,2.1057629369975124,0.04278740308222456,0.0901001275809216
2025-09-18,205,1111,1.6827698526128485,0.0526265927715409,0.08855844376168229
2025-09-18,206,1409,1.3555393037317218,0.06581344294455603,0.08921270862525088
2025-09-18,207,1559,0.9963434111762046,0.07231318706804583,0.07204876747639978
2025-09-18,208,1735,0.7001341346394419,0.07982516678168852,0.05588832406714662
2025-09-18,209,1742,0.4323963813783582,0.08012142397203569,0.034644213796389475
2025-09-18,210,161,4.1425427145183065,0.007985714994295918,0.033081165469840156
2025-09-18,211,378,3.433130865609591,0.018549416036902543,0.06368257273532366
2025-09-18,212,755,3.0125748219949333,0.036376776680317996,0.10958776153245842
2025-09-18,213,1168,2.570493838409224,0.05517762660619804,0.1418337492092769
2025-09-18,214,1642,2.223374663392993,0.07587099159042603,0.16868964038865605
2025-09-18,215,2312,1.847809650253831,0.10362136966654716,0.19147256684236544
2025-09-18,216,3165,1.4773752187837377,0.13662853442693718,0.20185161094109777
2025-09-18,217,4136,1.0861027921664586,0.17136228041100432,0.1861170512264034
2025-09-18,218,5690,0.7485522952697378,0.22148695990657843,0.16579457221038565
2025-09-18,219,9208,0.38612049124279335,0.31525609422076145,0.12172683796780476
2025-09-18,220,22,4.6563437604704765,0.0010987913295375088,0.005116350151351038
2025-09-18,221,61,4.13077311381374,0.0030407257863516277,0.012560548324741447
2025-09-18,222,127,3.7598104313168172,0.006309931932230338,0.023724147899698705
2025-09-18,223,175,3.259235568795683,0.008674101610904586,0.028270940497608154
2025-09-18,224,284,2.7881747481714467,0.014001183198580161,0.039037745438803534
2025-09-18,225,445,2.321367572868315,0.021765712888236734,0.05052622009911471
2025-09-18,226,704,1.953981134279214,0.03400309119010819,0.06644139869264715
2025-09-18,227,1003,1.4820324608850644,0.047755082607246584,0.07077458259618719
2025-09-18,228,1607,1.0675742243902309,0.07437404544823437,0.07939981388416259
2025-09-18,229,3351,0.5617468353711506,0.1435056314504732,0.08061383432524198
2025-09-18,231,1,3.9719969821445353,4.999750012499375e-05,0.0001985899196112462
2025-09-18,232,1,1.5511451566819643,4.999750012499375e-05,7.755338016508995e-05
2025-09-18,233,5,2.0637680227130857,0.00024993751562109475,0.0005158130524151676
2025-09-18,234,7,0.9218004382521477,0.000349877542859999,0.0003225172723429317
2025-09-18,235,5,0.1406101945234576,0.00024993751562109475,3.514376269019185e-05
2025-09-18,236,13,0.7839096403374075,0.0006495777744466097,0.0005092102795376155
2025-09-18,237,7,-0.21968879642209416,0.000349877542859999,-7.686417628603284e-05
2025-09-18,238,17,0.6425094795639444,0.0008492781136034371,0.0005456692387763929
2025-09-18,239,12,-0.11231469669656972,0.0005996402158704777,-6.73484089725583e-05
2025-10-02,30,51338,-0.38116179308532794,0.7196445092377134,-0.2743009915250577
2025-10-02,31,43490,-0.8602930509859378,0.6849897621672705,-0.589291932389013
2025-10-02,32,36040,-1.3426532611885502,0.643112062812277,-0.8634765084445994
2025-10-02,33,29735,-1.804250266525634,0.5978687041318991,-1.0787047687773144
2025-10-02,34,23384,-2.2561093425629166,0.5390005531993362,-1.2160441837196025
2025-10-02,35,17701,-2.720107164302743,0.46951009257048887,-1.2771177665134308
2025-10-02,36,12251,-3.2082663174241564,0.37986419025766643,-1.2187054867992726
2025-10-02,37,7562,-3.7316877467077685,0.2743632537551702,-1.0238379921850427
2025-10-02,38,3669,-4.335068939852472,0.15501288605348768,-0.6719915476073649
2025-10-02,39,1047,-5.134850350435465,0.0497458070033734,-0.2554372745239669
2025-10-02,110,5780,3.0457822928975427,0.22420480993017844,0.6828790400677966
2025-10-02,111,12750,2.574558656360994,0.3893129770992366,1.002309095224509
2025-10-02,112,19282,2.159020806379601,0.490860954126572,1.0597790129986118
2025-10-02,113,24701,1.7662853728461005,0.5525827162703295,0.97601876903585
2025-10-02,114,30230,1.423523283067757,0.6018315747561218,0.8567212591506729
2025-10-02,115,34883,1.1027897321602111,0.6355884335768818,0.7009203984283775
2025-10-02,116,39188,0.8001719562183335,0.6620936676353315,0.5297887852315343
2025-10-02,117,42614,0.5050195841458941,0.6805826173060338,0.3437075503688174
2025-10-02,118,44454,0.2600520002628679,0.6897011822384956,0.17935817202478557
2025-10-02,119,42195,0.062443665053999294,0.6784307420210628,0.04236370201709945
2025-10-02,120,294,2.773800328667022,0.014487040504582636,0.04018415771302378
2025-10-02,121,764,2.4351862771597768,0.03679445193604315,0.08960134443026725
