variable,fold,bin,n,residual_mean,residual_std
search_ord_share_90,2025-09-18,2,1312,0.04046934051980707,1.9229211863988338
search_ord_share_90,2025-09-18,3,45143,0.00047112017397960053,1.5631366184442788
search_ord_share_90,2025-09-18,4,21983,0.01540646588208488,1.700524569705237
search_ord_share_90,2025-09-18,5,120191,-0.0037855871261584374,1.8352612820987697
search_ord_share_90,2025-10-02,0,2076,0.00016556222088883984,1.8799307987542961
search_ord_share_90,2025-10-02,1,296,0.11749291841004336,1.8530540585227229
search_ord_share_90,2025-10-02,2,1306,0.109402555056763,1.8524630752982993
search_ord_share_90,2025-10-02,3,45548,-0.022163191593676426,1.5445088063101817
search_ord_share_90,2025-10-02,4,22413,0.014803315612470657,1.7106312575393356
search_ord_share_90,2025-10-02,5,122055,0.00409406406916873,1.8218865691266677
search_ord_share_90,2025-10-16,0,2131,0.04277735135108192,1.9269050551557347
search_ord_share_90,2025-10-16,1,320,-0.022377497235781574,2.0054848302129136
search_ord_share_90,2025-10-16,2,1338,0.09007648575452736,1.8737046907247878
search_ord_share_90,2025-10-16,3,46270,-0.012219782967590917,1.5382807201257345
search_ord_share_90,2025-10-16,4,22985,0.03442585207228217,1.6872301426799516
search_ord_share_90,2025-10-16,5,124335,-0.003461526734421121,1.8150153339162767
search_ord_share_90,wcv_weighted,0,8397,0.0258215338724177,1.9060236839621527
search_ord_share_90,wcv_weighted,1,1226,0.012774489677769308,1.9358152409755545
search_ord_share_90,wcv_weighted,2,5308,0.0783269130016854,1.883301325155261
search_ord_share_90,wcv_weighted,3,181802,-0.011910645527780192,1.5440681775835015
search_ord_share_90,wcv_weighted,4,88997,0.025389855423497056,1.6982649577173206
search_ord_share_90,wcv_weighted,5,484886,-0.0015509266744534891,1.8214992983054767
search_ord_share_180,2025-09-04,0,1605,-0.04557677154115954,1.736844168897441
search_ord_share_180,2025-09-04,1,348,0.012135411503776443,1.966184568848256
search_ord_share_180,2025-09-04,2,1538,0.019836912325874697,1.9388619593959364
search_ord_share_180,2025-09-04,3,32928,0.0010509124264264263,1.4618274922286862
search_ord_share_180,2025-09-04,4,31455,0.0149040412509324,1.8128656249494675
search_ord_share_180,2025-09-04,5,120644,-0.003853802761980536,1.8272404063404122
search_ord_share_180,2025-09-18,0,1588,0.0263992369339436,1.8023629937751224
search_ord_share_180,2025-09-18,1,348,0.1363883969469107,1.9120022510734167
search_ord_share_180,2025-09-18,2,1505,0.05710099835826214,1.9316618269145878
search_ord_share_180,2025-09-18,3,33169,0.003118886721645752,1.4705984791508713
search_ord_share_180,2025-09-18,4,31495,0.026657880526352172,1.795953776882186
search_ord_share_180,2025-09-18,5,122920,-0.009098295263305849,1.8188617502962983
search_ord_share_180,2025-10-02,0,1597,0.0012940720792804464,1.7789663993455098
search_ord_share_180,2025-10-02,1,357,0.17059259004609276,1.8723231298068475
search_ord_share_180,2025-10-02,2,1494,0.08384193999759114,1.8963197731601715
search_ord_share_180,2025-10-02,3,33313,-0.016892643014158222,1.454940418719328
search_ord_share_180,2025-10-02,4,31895,0.028767291325147718,1.7916739425166588
search_ord_share_180,2025-10-02,5,125038,-0.004342809275567508,1.8055319883836651
search_ord_share_180,2025-10-16,0,1619,-0.012502806671768764,1.7703096510412777
search_ord_share_180,2025-10-16,1,373,0.04371413949347943,2.009151141817858
search_ord_share_180,2025-10-16,2,1522,0.03595842078512625,1.9341828702060633
search_ord_share_180,2025-10-16,3,34061,-0.0038259907037284614,1.439354418962122
search_ord_share_180,2025-10-16,4,32601,0.027506393987414453,1.785249612266991
search_ord_share_180,2025-10-16,5,127203,-0.006424462689468432,1.7990167491542701
search_ord_share_180,wcv_weighted,0,6409,-0.005874182181484338,1.774762544843707
search_ord_share_180,wcv_weighted,1,1426,0.08712973153780702,1.9594432552870782
search_ord_share_180,wcv_weighted,2,6059,0.05037545914588862,1.924335885604601
search_ord_share_180,wcv_weighted,3,133471,-0.0060362869633364515,1.4492600558888864
search_ord_share_180,wcv_weighted,4,127446,0.02687972003933049,1.7902616471648574
search_ord_share_180,wcv_weighted,5,495805,-0.006054125891030329,1.8052909588391883
search_cart_share_30,2025-09-04,0,3092,0.047612238180546246,1.8297894932275065
search_cart_share_30,2025-09-04,1,557,-0.038896967608599946,1.912072495149874
search_cart_share_30,2025-09-04,2,2199,0.03493849958182404,1.8684220196517716
search_cart_share_30,2025-09-04,3,41720,0.018210691111254094,1.677230785798181
search_cart_share_30,2025-09-04,4,23386,-0.03675444896198803,1.7439486238044075
search_cart_share_30,2025-09-04,5,117564,-0.0008721821498685132,1.7976668862162524
search_cart_share_30,2025-09-18,0,3173,0.029334342375709845,1.820263712971274
search_cart_share_30,2025-09-18,1,603,-0.09502824841063096,1.8974875637776731
search_cart_share_30,2025-09-18,2,2296,0.0044445475668766395,1.8475407755247126
search_cart_share_30,2025-09-18,3,42271,0.005447801919155803,1.6971439202780358
search_cart_share_30,2025-09-18,4,23741,-0.008746181636012063,1.7031669734364754
search_cart_share_30,2025-09-18,5,118941,-0.0005769369055594932,1.789552734164033
search_cart_share_30,2025-10-02,0,3332,0.01502521316529693,1.8377346771992036
search_cart_share_30,2025-10-02,1,581,0.021224755110054963,1.7795091337430828
search_cart_share_30,2025-10-02,2,2318,0.025121063996173098,1.8903852009758515
