variable,segment,n,pearson,spearman,residual_mean
recency_last_search_purchase,w180_days_buy_ge16,163898,-0.013735422934714905,0.03636096460763573,0.041664516325098724
recency_last_search_purchase,actual_total_y_0,301289,0.7502817649610602,0.8342546040993087,-1.543102130311063
recency_last_search_purchase,gmv_low_0_100,274901,0.4955766287218094,0.5241943133185961,0.590669242416516
recency_last_search_purchase,gmv_medium_100_1000,182253,0.5432087242750888,0.5589079444068221,1.50881080997864
recency_last_search_purchase,gmv_high_gt1000,12173,0.5557276844336393,0.6041343996931002,2.2639357788758794
recency_last_catalog_purchase,all,770616,-0.009334663918759215,-0.040027129815705206,7.066755164769495e-08
recency_last_catalog_purchase,rec_buy_15_60,223152,-0.004349878393865262,-0.005145735664661829,-0.026619940663462134
recency_last_catalog_purchase,w180_days_buy_2_15,438482,-0.005761257410184439,-0.005594458360439888,-0.008160543444188845
recency_last_catalog_purchase,intersection,181406,-0.003583402986576967,0.0010988011313286896,-0.02745787896165491
recency_last_catalog_purchase,w180_days_buy_0_1,168236,-0.0014633637008821332,0.022906913187750035,-0.019320627146450445
recency_last_catalog_purchase,w180_days_buy_ge16,163898,-0.00458841229981683,0.010224308017585058,0.041664516325098724
recency_last_catalog_purchase,actual_total_y_0,301289,0.3835675855646825,0.2811932585174785,-1.543102130311063
recency_last_catalog_purchase,gmv_low_0_100,274901,0.2583426485505963,0.2349616580801054,0.590669242416516
recency_last_catalog_purchase,gmv_medium_100_1000,182253,0.3188210925778506,0.3059585935547055,1.50881080997864
recency_last_catalog_purchase,gmv_high_gt1000,12173,0.4048728999415541,0.40011459525813126,2.2639357788758794
recency_difference,all,770616,0.003496533879680794,-0.010939887317855685,7.066755164769495e-08
recency_difference,rec_buy_15_60,223152,0.002671430994425005,0.003606372366539985,-0.026619940663462134
recency_difference,w180_days_buy_2_15,438482,0.004373798062440853,0.0022875489813776674,-0.008160543444188845
recency_difference,intersection,181406,0.003227255523015832,0.0011200264369642802,-0.02745787896165491
recency_difference,w180_days_buy_0_1,168236,0.00503401681100491,0.28779513286025604,-0.019320627146450445
recency_difference,w180_days_buy_ge16,163898,0.0030811787302944494,-0.006163526722328835,0.041664516325098724
recency_difference,actual_total_y_0,301289,0.446636146975489,0.574944941451258,-1.543102130311063
recency_difference,gmv_low_0_100,274901,0.03559473429348403,0.06276155641984327,0.590669242416516
recency_difference,gmv_medium_100_1000,182253,-0.1254045830362849,-0.12134573006892235,1.50881080997864
recency_difference,gmv_high_gt1000,12173,-0.2534651033085683,-0.2675867759315661,2.2639357788758794
dominant_historical_channel,all,770616,0.003431280748630834,0.04469071966453234,7.066755164769495e-08
dominant_historical_channel,rec_buy_15_60,223152,-0.00017181024469047307,9.652438682674007e-05,-0.026619940663462134
dominant_historical_channel,w180_days_buy_2_15,438482,0.0006631474105348792,-0.0006117039692706314,-0.008160543444188845
dominant_historical_channel,intersection,181406,-0.0011673392107157015,-0.0014283498104233497,-0.02745787896165491
dominant_historical_channel,w180_days_buy_0_1,168236,-0.008264759626742665,-0.2204334749189338,-0.019320627146450445
dominant_historical_channel,w180_days_buy_ge16,163898,-0.004049898720104796,-0.007617019651561374,0.041664516325098724
dominant_historical_channel,actual_total_y_0,301289,-0.6712951017016023,-0.7351339006976981,-1.543102130311063
dominant_historical_channel,gmv_low_0_100,274901,-0.3791854718757314,-0.30306386037296457,0.590669242416516
dominant_historical_channel,gmv_medium_100_1000,182253,-0.35214607213502586,-0.1989610047363899,1.50881080997864
dominant_historical_channel,gmv_high_gt1000,12173,-0.32691173849172483,-0.1533374483421296,2.2639357788758794
historical_switch_30_90,all,770616,-0.007910680288097764,-0.03267476427491342,7.066755164769495e-08
historical_switch_30_90,rec_buy_15_60,223152,-0.006250603340255795,-0.008926819715127706,-0.026619940663462134
historical_switch_30_90,w180_days_buy_2_15,438482,-0.005367558642824431,-0.008761922396668485,-0.008160543444188845
historical_switch_30_90,intersection,181406,-0.004275135959399094,0.0004976940160383832,-0.02745787896165491
historical_switch_30_90,w180_days_buy_0_1,168236,-0.008051008298451528,-0.16485095646581857,-0.019320627146450445
