ckpt,seed,panel,depth,train_max,avail,extrap,over_train,rmsle,rmsle_cal,d_cal,auc,bias,mean_z,var_vs_clip
SEQ-01-S44-V0904,44,1016,247,212,289,77,35,1.7525606346609837,1.7511166411961592,-0.0027308238088676884,0.8424865768601227,-0.07089140077251166,2.7024105305044275,0.019122215084144023
SEQ-01-S44-V0904,44,1016,254,212,289,77,42,1.7527702277003283,1.750750206270946,-0.0030972587340809543,0.8424712160205325,-0.08384300616057905,2.715362135892495,0.022890273711445138
SEQ-01-S44-V0904,44,1016,261,212,289,77,49,1.7531172029978754,1.7503370648111092,-0.0035104001939176843,0.8425234654967462,-0.09838673160829892,2.7299058613402147,0.026713198935740787
SEQ-01-S44-V0904,44,1016,268,212,289,77,56,1.7534354982781817,1.7499981969127112,-0.003849268092315672,0.8425510366491833,-0.10937422799267127,2.740893357724587,0.03097870635626406
SEQ-01-S44-V0904,44,1016,275,212,289,77,63,1.754070123465497,1.750091490613302,-0.0037559743917248145,0.8424380289539695,-0.11769651760043587,2.7492156473323517,0.03535240441029264
SEQ-01-S44-V0904,44,1016,282,212,289,77,70,1.7543060991258246,1.7499213150274868,-0.003926149977540039,0.8423681872021274,-0.1235585707620035,2.7550777004939193,0.03968122315216524
SEQ-01-S44-V0904,44,1016,289,212,289,77,77,1.754635163482014,1.7499853512444095,-0.0038621137606174027,0.8422573420287296,-0.1272267786851673,2.758745908417083,0.04332985683239927
SEQ-01-S44-V0918,44,1016,226,226,289,63,0,1.7517110816520691,1.7512584506638198,0.0,0.84227012226328,-0.03977261390041731,2.671291743632333,0.0
SEQ-01-S44-V0918,44,1016,240,226,289,63,14,1.7514247144364952,1.7503126299527558,-0.0009458207110639716,0.8425196687774569,-0.0623461677172914,2.693865297449207,0.0067541459206339255
SEQ-01-S44-V0918,44,1016,247,226,289,63,21,1.7514264025793298,1.7498025276816958,-0.0014559229821240471,0.8426473268574722,-0.07532149800252741,2.7068406277344432,0.010710596293411706
SEQ-01-S44-V0918,44,1016,254,226,289,63,28,1.7514417668794384,1.7493313201992844,-0.0019271304645354093,0.8426727930969216,-0.08584705216244481,2.7173661818943606,0.014197971223504042
SEQ-01-S44-V0918,44,1016,261,226,289,63,35,1.7523313343448836,1.749281135994582,-0.001977314669237895,0.8426699301815772,-0.10324201595047722,2.734761145682393,0.018451686298957416
SEQ-01-S44-V0918,44,1016,268,226,289,63,42,1.7526000257191359,1.748892208886053,-0.0023662417777667866,0.8427264208034955,-0.11381231433298167,2.7453314440648975,0.021788051036875478
SEQ-01-S44-V0918,44,1016,275,226,289,63,49,1.752864170472984,1.7488263129112531,-0.0024321377525666765,0.8426546279244859,-0.11877443422055611,2.750293563952472,0.025066456761941087
