contrast,fold,fold_index,variant,alpha,score,baseline,delta,offset,winsor_lo,winsor_hi,clipped_fraction,bounds_folds
FRESH,2025-10-16,3,GLOBAL,0.25,1.7411678707958977,1.7412785662041037,-0.00011069540820596302,-0.035387154013979245,-0.12833185195922853,0.07998384475707998,0.0511351258239225,"[0, 1, 2]"
FRESH,2025-10-16,3,GLOBAL,0.5,1.741088732762811,1.7412785662041037,-0.00018983344129264168,-0.03538715401397925,-0.12833185195922853,0.07998384475707998,0.0511351258239225,"[0, 1, 2]"
FRESH,2025-10-16,3,GLOBAL,0.75,1.7410411564081112,1.7412785662041037,-0.00023740979599251588,-0.035387154013979134,-0.12833185195922853,0.07998384475707998,0.0511351258239225,"[0, 1, 2]"
FRESH,2025-10-16,3,GLOBAL,1.0,1.7410251443192215,1.7412785662041037,-0.00025342188488219897,-0.035387154013979336,-0.12833185195922853,0.07998384475707998,0.0511351258239225,"[0, 1, 2]"
FRESH,2025-10-16,3,HIGH16,0.0,1.7412785662041037,1.7412785662041037,0.0,-0.03538715401397925,-0.12833185195922853,0.07998384475707998,0.0511351258239225,"[0, 1, 2]"
FRESH,2025-10-16,3,HIGH16,0.25,1.7412350580023823,1.7412785662041037,-4.350820172138725e-05,-0.03538715401397932,-0.12833185195922853,0.07998384475707998,0.0511351258239225,"[0, 1, 2]"
FRESH,2025-10-16,3,HIGH16,0.5,1.74121051401239,1.7412785662041037,-6.805219171379662e-05,-0.035387154013979384,-0.12833185195922853,0.07998384475707998,0.0511351258239225,"[0, 1, 2]"
FRESH,2025-10-16,3,HIGH16,0.75,1.7412049350360843,1.7412785662041037,-7.363116801939462e-05,-0.03538715401397924,-0.12833185195922853,0.07998384475707998,0.0511351258239225,"[0, 1, 2]"
FRESH,2025-10-16,3,HIGH16,1.0,1.7412183212557606,1.7412785662041037,-6.0244948343113336e-05,-0.03538715401397934,-0.12833185195922853,0.07998384475707998,0.0511351258239225,"[0, 1, 2]"
VOL,2025-09-04,0,GLOBAL,0.0,1.7668833566716835,1.7668833566716835,0.0,-0.11734465923294395,-0.02949531078338623,0.030137307643890388,0.01618413095831698,"[1, 2, 3]"
VOL,2025-09-04,0,GLOBAL,0.25,1.7668517863101665,1.7668833566716835,-3.157036151701931e-05,-0.11734465234164174,-0.02949531078338623,0.030137307643890388,0.01618413095831698,"[1, 2, 3]"
VOL,2025-09-04,0,GLOBAL,0.5,1.7668230790909323,1.7668833566716835,-6.027758075122236e-05,-0.1173446454503398,-0.02949531078338623,0.030137307643890388,0.01618413095831698,"[1, 2, 3]"
VOL,2025-09-04,0,GLOBAL,0.75,1.766797235153543,1.7668833566716835,-8.612151814046953e-05,-0.11734463855903765,-0.02949531078338623,0.030137307643890388,0.01618413095831698,"[1, 2, 3]"
VOL,2025-09-04,0,GLOBAL,1.0,1.766774254623649,1.7668833566716835,-0.00010910204803460388,-0.11734463166773569,-0.02949531078338623,0.030137307643890388,0.01618413095831698,"[1, 2, 3]"
VOL,2025-09-04,0,HIGH16,0.0,1.7668833566716835,1.7668833566716835,0.0,-0.11734465923294395,-0.02949531078338623,0.030137307643890388,0.01618413095831698,"[1, 2, 3]"
VOL,2025-09-04,0,HIGH16,0.25,1.7668641909755642,1.7668833566716835,-1.9165696119261e-05,-0.11734466179873947,-0.02949531078338623,0.030137307643890388,0.01618413095831698,"[1, 2, 3]"
VOL,2025-09-04,0,HIGH16,0.5,1.7668465443759993,1.7668833566716835,-3.681229568419653e-05,-0.11734466436453522,-0.02949531078338623,0.030137307643890388,0.01618413095831698,"[1, 2, 3]"
VOL,2025-09-04,0,HIGH16,0.75,1.7668304169185056,1.7668833566716835,-5.293975317788302e-05,-0.11734466693033102,-0.02949531078338623,0.030137307643890388,0.01618413095831698,"[1, 2, 3]"
