fold,variant,corr_tab,var_div,solo,mix,mix_d,mix_vs_base,mix_d_vs_prod
2025-10-02,MHZ_CNT_X_FRESH,0.9968275725475061,0.019371454248151176,1.7482821829245245,1.7453614086341933,1.744526578719878,0.0007829007155544243,0.00012617213549748207
2025-10-02,MHZ_CNT_X_VOL,0.9965362823602293,0.021167135720706446,1.74925461761144,1.7455456715512718,1.7446936535890454,0.0009671636326329391,0.00029324700466482057
2025-10-02,S04LGB_X_CLEAN,0.9967029841247459,0.02013262055874163,1.7483215669887309,1.7453274520743347,1.7444806755300062,0.0007489441556958187,0.00008026894562562781
2025-10-02,S04LGB_X_FRESH,0.9969603568143351,0.018549701748881,1.7475287086172488,1.7451844640803509,1.7443467503020582,0.0006059561617119957,-0.000053656282322345206
2025-10-02,S04LGB_X_VOL,0.9967034760115289,0.020131538864462253,1.748436448062508,1.7453620413870414,1.7445091092793181,0.0007835334684025419,0.00010870269493756801
2025-10-02,SEQ_X_CLEAN,0.99308164129163,0.0423470763967778,1.7516522868877082,1.7449928678956266,1.744848117812027,0.00041435997698768823,0.000447711227646419
2025-10-02,SEQ_X_FRESH,0.9935325278908955,0.03955131683330692,1.7505029014133446,1.7448150677433447,1.744689885211591,0.0002365598247058287,0.0002894786272105154
2025-10-02,SEQ_X_VOL,0.9931147430039797,0.04214679534701804,1.7517127530108632,1.7450231283560802,1.744872868653561,0.0004446204374413121,0.0004724620691805015
2025-10-02,[смесь с SEQ-01],0.9939102474008124,0.03718927499021497,1.748652101322093,1.7444004065843806,1.7444004065843806,-0.0001781013342583293,0.0
2025-10-16,BASE_1HEAD,0.9932126415110386,0.04100962858405673,1.7397898943384063,1.7344744824937248,1.7346727375242728,0.0,0.00016364708944993644
2025-10-16,DIST_TAB,0.9991734083529563,0.004983779133596005,1.7365722155367818,1.7356875910733929,1.7345090903796183,0.001213108579668054,-5.520450763185636e-11
2025-10-16,DIST_X_CLEAN,0.9971045228079279,0.0174809825874621,1.7384146422794555,1.7354848670316978,1.7347112372252835,0.0010103845379729748,0.00020214679046071105
2025-10-16,DIST_X_FRESH,0.9974432703072185,0.015421008867949882,1.7372108358476799,1.7352478566722458,1.734479996688283,0.0007733741785209691,-0.000029093746539921028
2025-10-16,DIST_X_VOL,0.9971360682721185,0.01729010472648748,1.7383815406372791,1.7354864683275075,1.7347105029930328,0.0010119858337827026,0.00020141255820993464
2025-10-16,MHZ_B30_X_CLEAN,0.9962933286096346,0.0223963691500784,1.739450068588373,1.7354987220692577,1.7347868081875608,0.0010242395755328815,0.0002777177527379937
2025-10-16,MHZ_B30_X_FRESH,0.9966522664448579,0.02020684232507583,1.7382090065042517,1.7352581415142236,1.7345528271196304,0.000783659020498817,0.000043736684807615944
2025-10-16,MHZ_B30_X_VOL,0.996325725271686,0.02220003267841359,1.7394147973153855,1.7354999953227785,1.734785896003869,0.0010255128290537208,0.0002768055690460791
2025-10-16,MHZ_CNT_X_CLEAN,0.9964661500875507,0.021347287439362424,1.7391663605505148,1.7354768935456342,1.7347846805587643,0.0010024110519093465,0.00027559012394151594
2025-10-16,MHZ_CNT_X_FRESH,0.9968308146251083,0.019124854512795164,1.737915000546548,1.735235267847458,1.7345498975876434,0.000760785353733251,0.000040807152820621084
2025-10-16,MHZ_CNT_X_VOL,0.9965000182981674,0.02114209268715958,1.7391286013816596,1.7354779565499323,1.7347836474129348,0.0010034740562074873,0.00027455697811196167
2025-10-16,S04LGB_X_CLEAN,0.9966090941167055,0.020476449073398333,1.7387367748563778,1.735400445677564,1.7346966914280753,0.0009259631838391957,0.00018760099325243473
2025-10-16,S04LGB_X_FRESH,0.9969320528535762,0.018508899733789684,1.7375620124199522,1.7351664890290155,1.7344674501115247,0.0006920065352906679,-0.00004164032329811995
2025-10-16,S04LGB_X_VOL,0.9966416690287943,0.020279186040882292,1.7387003735206732,1.7354014397503559,1.7346955576639025,0.0009269572566310558,0.00018646722907966762
2025-10-16,SEQ_X_CLEAN,0.9930312578400147,0.042122708001692676,1.7403256027210312,1.7345683272380639,1.7346711759237803,0.00009384474433904444,0.0001620854889574641
2025-10-16,SEQ_X_FRESH,0.9935179416128612,0.039138614777691094,1.7388768090234663,1.7343130477155755,1.7344252893434504,-0.0001614347781493386,-0.0000838010913724041
2025-10-16,SEQ_X_VOL,0.9931127884434915,0.04162591226911582,1.7401972886359238,1.7345597795775578,1.7346642145536453,0.00008529708383298029,0.00015512411882245836
2025-10-16,[смесь с SEQ-01],0.9940104022760735,0.03616734694249402,1.7389305508147306,1.7345090904348228,1.7345090904348228,0.00003460794109799714,0.0
