bank,fit,component,family,weight
forward_deployable,final_all_folds,INTERCEPT,INTERCEPT,-0.051104081890281546
forward_deployable,final_all_folds,S1-E02,TABULAR,-0.030155949076436837
forward_deployable,final_all_folds,S1-E03a,TABULAR,0.039019901918394745
forward_deployable,final_all_folds,S1-DIST,TABULAR,0.1336722151460352
forward_deployable,final_all_folds,S1-E11,TABULAR,-0.2104723909064962
forward_deployable,final_all_folds,SEQ-AVG3,SEQ,0.22113220842892986
forward_deployable,final_all_folds,ETX-AVG3,ETX,0.17224729611886475
forward_deployable,final_all_folds,ETX-AVG2,ETX,-0.049842639712723534
forward_deployable,final_all_folds,ETX-01-S42,ETX,0.10018390728631003
forward_deployable,final_all_folds,RIDGE15,TABULAR,0.00965019151479272
forward_deployable,final_all_folds,HOLIDAY-YOY-FAST,TABULAR,-0.09713899042919417
forward_deployable,final_all_folds,S04-A,TABULAR,-0.05561545500622933
forward_deployable,final_all_folds,S04-B,TABULAR,0.5066954567689402
forward_deployable,final_all_folds,SAMPLE-TB1-AVG3-R300,TABULAR,0.008875375032910965
forward_deployable,final_all_folds,BTYD:z_btyd,BTYD_OTHER,0.08246418409113328
forward_deployable,final_all_folds,BTYD:z_strongest,BTYD_OTHER,0.11979924268818781
forward_deployable,final_all_folds,BLOCK4:z_new_honest,BTYD_OTHER,0.06388812748016075
