feature,gain_mean,split_mean
b1_last_order_had_search_same_day,0.0,0.0
b1_order_gmv_sum_all,0.0,0.0
b1_post_order_cart_no_order_share,0.0,0.0
b1_post_order_cat_to_ord_sum,0.0,0.0
b1_post_order_gmv_cat_sum,0.0,0.0
b1_post_order_gmv_search_sum,0.0,0.0
b1_post_order_search_to_ord_sum,0.0,0.0
cat_max_all,0.0,0.0
cat_to_ord_sum_14d,0.0,0.0
cat_to_ord_sum_7d,0.0,0.0
has_activity_after_last_order,0.0,0.0
has_cart_after_last_order,0.0,0.0
has_cat_to_cart_max_all,0.0,0.0
has_cat_to_ord_max_all,0.0,0.0
has_cat_to_ord_sum_14d,0.0,0.0
has_cat_to_ord_sum_7d,0.0,0.0
has_search_after_last_order,0.0,0.0
has_search_to_cart_max_all,0.0,0.0
has_search_to_ord_max_all,0.0,0.0
last_cart_after_last_order,0.0,0.0
last_search_after_last_order,0.0,0.0
search_max_all,0.0,0.0
