recency_weight,post_order_dist_weight,behavior_dist_weight,xgb_behavior_weight,cat_behavior_weight,rmsle_mean,rmsle_std,bias_mean,pred_log_mean,pred_mean
0.35,0.05,0.3,0.15,0.15,1.7070683155271635,0.0511351911089898,0.06161825853170133,2.2731533561176605,34.53128890598168
0.15,0.05,0.4,0.2,0.2,1.7070687217459337,0.05138824805672906,0.0644015808399192,2.2703700338094426,34.31191552304399
0.2,0.15,0.3,0.3,0.05,1.70706917240908,0.05135692519107081,0.06314579441472556,2.271625820234636,34.41567626012452
0.3,0.2,0.2,0.15,0.15,1.7070692353987238,0.05122601060872996,0.061772126474010536,2.2729994881753512,34.44962283370309
0.15,0.1,0.35,0.3,0.1,1.7070695189502014,0.05138603908430979,0.06396622735106638,2.2708053872982954,34.37530338697117
0.25,0.2,0.2,0.3,0.05,1.7070695276791317,0.05126288774921685,0.0620564250052178,2.2727151896441438,34.50463275428794
0.3,0.15,0.2,0.3,0.05,1.7070696964626526,0.05117179668794682,0.06143480706727322,2.273336807582089,34.59098533957044
0.15,0.15,0.35,0.2,0.15,1.7070700679166215,0.051448345657974494,0.06420241703968843,2.2705691976096736,34.269590230647395
0.1,0.1,0.35,0.25,0.2,1.7070703208531157,0.051412702818447883,0.06465327289115486,2.2701183417582067,34.30747955552266
0.2,0.15,0.35,0.15,0.15,1.7070705001664874,0.051417796895725974,0.0637167833650103,2.2710548312843515,34.276818083228164
0.2,0.2,0.3,0.15,0.15,1.707070755845482,0.05141493837529992,0.06348281305660652,2.271288801592755,34.279084128873876
0.25,0.05,0.4,0.15,0.15,1.707070777688291,0.05132655170460296,0.06332950447935626,2.2714421101700055,34.35670804691024
0.15,0.0,0.4,0.25,0.2,1.7070709869666834,0.051323927022378736,0.0642662057081953,2.2705054089411663,34.388988015387476
0.25,0.05,0.35,0.3,0.05,1.70707126902462,0.05126602724640569,0.06275845620319909,2.2720131584461627,34.497788685486405
0.3,0.1,0.3,0.25,0.05,1.7070718704794199,0.05123231358701488,0.062038753786565426,2.2727328608627966,34.507265403234484
0.15,0.15,0.35,0.15,0.2,1.707072058777654,0.05144850874924293,0.06430309523076705,2.2704685194185945,34.23958854200015
0.25,0.0,0.4,0.25,0.1,1.7070721072906874,0.051265446867388834,0.06309326151316985,2.271678353136192,34.46432115712583
0.25,0.15,0.3,0.25,0.05,1.7070722502526432,0.05132534402266175,0.06266028890810982,2.272111325741252,34.42293343600376
0.35,0.0,0.3,0.25,0.1,1.70707278794759,0.05107714633409792,0.06138179342731731,2.2733898212220445,34.64355459984326
0.35,0.0,0.25,0.3,0.1,1.7070734656283864,0.051018039339489854,0.06101173200360166,2.27375988264576,34.7293614013148
0.35,0.1,0.25,0.2,0.1,1.7070746025799282,0.051135544396083886,0.061283932297075294,2.2734876823522865,34.564749185427175
0.15,0.25,0.2,0.3,0.1,1.7070747951538903,0.05137977259575112,0.06326432249217362,2.271507292157188,34.382720687229
0.3,0.2,0.2,0.2,0.1,1.7070751599088783,0.05122730403882145,0.061671737865441445,2.2730998767839203,34.480748417374244
0.2,0.2,0.25,0.3,0.05,1.707075488699016,0.05135474578509049,0.06291208119396496,2.271859533455397,34.4183655448961
0.1,0.05,0.35,0.3,0.2,1.7070757346375531,0.05134756886787876,0.06451803112814414,2.2702535835212174,34.38496141971501
0.35,0.05,0.3,0.2,0.1,1.7070759909127347,0.05113607184881362,0.061517924120533474,2.2732536905288283,34.56260725400366
0.3,0.15,0.25,0.25,0.05,1.7070766125062034,0.05123091472317893,0.06180502850374725,2.2729665861456145,34.50979013464102
0.2,0.05,0.4,0.25,0.1,1.707076826401149,0.05135843737014686,0.06371490824295467,2.271056706406407,34.38037936235126
