feature,is_b1,mean_abs_shap,mean_shap,mean_value,std_value
b1_weekend_active_share_all,True,0.01004164599754618,0.00039917666826476774,0.2854300505368691,0.08188663017935893
searches_sum_all,False,0.009990615380175863,-0.004313523573642449,338.8572,477.737504680058
b1_expected_next_order_overdue_days,True,0.009713669038160198,0.0029299357934815876,1458.75335,3503.992119329754
b1_multi_order_day_count_all,True,0.009197001606176307,-0.00129462770820779,5.38246,10.796997405949257
searches_mean_all,False,0.008558499802076978,-0.000988681169531158,2.694715272952644,1.878147991504953
w365_orders_per_day,False,0.008511223460725158,0.0008392715036486362,0.07533106821382884,0.15075223380604147
active_days_30d,False,0.008505926208282841,0.0018525587278524858,11.24628,7.675204685449223
w365_days_buy,False,0.00825526171228776,0.0013169731303963397,16.19634,21.620374895894198
b1_order_gap_last_over_median,True,0.008007855515476375,-0.0004678158509049894,2.4658615149747414,9.884481211159363
w365_gmv_per_day,False,0.007733015142855181,-0.0018516623211205052,2.5760875122687286,5.5451510801894965
w365_avg_order_value,False,0.0075431320809958334,0.002645506521540129,33.034176647087406,60.36604464935898
search_to_cart_max_all,False,0.0075053805918345925,-0.0013734856823896316,8.16574,9.06047793459624
all_lgmv_mean,False,0.007495971663624852,-8.49711811033567e-05,2.810905752305612,1.2955648060840232
cat_mean_all,False,0.0072821286252244995,7.365935877817246e-05,0.1356228225509799,0.1346988702831124
search_sum_14d,False,0.007267827863740405,0.0003206600174239113,4.10717,3.453728718903857
b1_order_gmv_top1_share,True,0.0072410787968849024,-1.759770194957464e-05,0.3460246128342859,0.2870616452421033
has_search_to_ord_mean_all,False,0.007211453237036599,0.0005374484168702845,0.12142377206471283,0.11026331321059923
has_search_to_ord_sum_30d,False,0.00671412135265697,-0.001448854620824617,1.72936,2.5713489204343887
w180_gmv,False,0.006581253234725769,-0.00019309573593086514,544.7913788237408,1187.3547720052645
gmv_sum_14d,False,0.006469769306929723,-0.002855106677064529,44.27257211103158,174.58799605252608
recency_days,False,0.006399867201864674,-0.002713965986958439,4.76067,6.8360404004217425
b1_searches_per_search_day_30d,True,0.0060544072318541135,0.0015785354971805787,3.2248173660600186,2.5973329699036247
b1_order_regularity_score,True,0.00600808096302754,0.000631862569940345,0.6366373654772342,0.23559045834924996
recency_buy_over_tenure,False,0.005884579265065604,-0.0012422483827080528,20.721751020519434,180.64395310128714
b1_last_order_day_gmv,True,0.005855378924033321,0.00016761149231598926,44.19947357760806,126.85009674820898
recency_to_ord_days,False,0.005819152578742128,0.000867056263690955,1477.66752,3496.112500819389
recency_cat_days,False,0.0056654396057334066,0.0013739723700660583,951.50648,2847.9238914548628
cat_sum_120d,False,0.005399072594849532,0.00045122743057951937,6.31716,10.266373833623998
b1_active_gap_max_all,True,0.00534471955618539,-0.0006146625947627609,36.63219,37.35248435934734
search_to_cart_mean_all,False,0.005312628055542742,0.0005653976032982065,0.7621540297790896,0.8068349435996252
active_days_all,False,0.005113705178841874,-0.0019851649619142724,105.83529,78.48682920936956
b1_search_spike_ratio_90d,True,0.005085093248020948,0.0003347162405465942,2.6970270726500916,1.3708920792579447
w180_avg_order_value,False,0.005024442255106284,0.00045371829308110407,30.63607434734553,61.96601708983384
search_sum_30d,False,0.004743883467475395,0.0011859956119856484,8.97706,6.9086071400718625
