candidate,fold,segment_family,segment,n,base_rmsle,candidate_rmsle,delta_rmsle,base_mean_signed_residual,candidate_mean_signed_residual,signed_residual_improvement,mean_squared_error_improvement
replacement_beta1_partial_3fold,2025-09-18,predicted_count_class,C3,27374,1.3544568391591032,1.35449714547808,4.030631897689041e-05,0.05349388538154794,0.053546873668185356,-5.2988286637419e-05,-0.0001091879633988435
replacement_beta1_partial_3fold,2025-09-18,predicted_count_class,C4,5280,0.8717698780747222,0.8690870117360994,-0.0026828663386228024,0.08416798975030208,0.07094160018151305,0.013226389568789035,0.004670486350033046
replacement_beta1_partial_3fold,2025-09-18,history_purchase_days,0-1,41940,1.5060984823570245,1.5061892480740096,9.076571698507507e-05,-0.01040565743321304,-0.011747495491646654,0.0013418380584336136,-0.00027341245561843106
replacement_beta1_partial_3fold,2025-09-18,history_purchase_days,16+,40106,1.3955484497063566,1.3956287080834164,8.025837705982752e-05,0.06439389796386341,0.06364699189656853,0.0007469060672948835,-0.0002240153487710569
replacement_beta1_partial_3fold,2025-09-18,history_purchase_days,2-15,108979,1.9603873138247117,1.9603909192839317,3.6054592200684965e-06,-0.019693412483045066,-0.018902139825875724,-0.0007912726571693424,-1.413620603039092e-05
replacement_beta1_partial_3fold,2025-09-18,history_purchase_days_2_15,2-15,108979,1.9603873138247117,1.9603909192839317,3.6054592200684965e-06,-0.019693412483045066,-0.018902139825875724,-0.0007912726571693424,-1.413620603039092e-05
replacement_beta1_partial_3fold,2025-09-18,history_purchase_days_2_15,outside,82046,1.4531102068811874,1.4531959741683165,8.576728712905712e-05,0.02615811129110196,0.025107089877436033,0.001051021413665927,-0.00024926599671463577
replacement_beta1_partial_3fold,2025-09-18,recency,0-7,60856,1.6499537431146423,1.6497500999141315,-0.00020364320051080576,0.03873570378080608,0.037848982810573986,0.0008867209702320966,0.0006719622513326011
replacement_beta1_partial_3fold,2025-09-18,recency,15-30,32720,1.9443177122278335,1.9442979634153994,-1.9748812434050578e-05,-0.045235763184686875,-0.04377698697554202,-0.0014587762091448561,7.67955416070338e-05
replacement_beta1_partial_3fold,2025-09-18,recency,31-60,24364,1.9653516921133503,1.9654948133594659,0.00014312124611559618,-0.047729623024275185,-0.045604988761317695,-0.0021246342629574894,-0.0005625876501526996
replacement_beta1_partial_3fold,2025-09-18,recency,61-90,11175,1.91059788960188,1.9108412100419776,0.00024332044009756082,-0.008303926937315395,-0.006058286851171967,-0.0022456400861434285,-0.0009298342435320496
replacement_beta1_partial_3fold,2025-09-18,recency,8-14,24279,1.8661077902822625,1.8661720045325016,6.42142502391696e-05,0.02434154237698571,0.02412651758769462,0.00021502478929109198,-0.00023966554870704819
replacement_beta1_partial_3fold,2025-09-18,recency,>90,17059,1.751471040523543,1.751834250031766,0.0003632095082231057,-0.012045633868283603,-0.01379592961686303,0.0017502957485794265,-0.0012724337917391487
replacement_beta1_partial_3fold,2025-09-18,recency,never,20572,1.2258947646254394,1.226167829555303,0.00027306492986345354,-0.0003405958684446447,-0.002068653486074735,0.0017280576176300902,-0.0006695723003007152
replacement_beta1_partial_3fold,2025-09-18,exp037_prediction,high,63675,1.587265075405168,1.5871437308264738,-0.00012134457869428239,0.050563339687554366,0.05095087006026679,-0.00038753037271242047,0.00038519729919558865
replacement_beta1_partial_3fold,2025-09-18,exp037_prediction,low,63675,1.6287881610520385,1.6288916147434809,0.00010345369144237893,-0.01248300692414247,-0.013727095664005678,0.001244088739863208,-0.000337018998343964
replacement_beta1_partial_3fold,2025-09-18,exp037_prediction,medium,63675,2.0312116128406794,2.031308487307805,9.687446712547398e-05,-0.03808033276341216,-0.037223774396261004,-0.000856558367151157,-0.00039355446988868743
replacement_beta1_partial_3fold,2025-09-18,dist_count_abs_disagreement,high,63675,1.8573812436158765,1.8574131827539588,3.19391380823042e-05,-0.01490217808073871,-0.014240348094569127,-0.0006618299861695827,-0.00011864733213134199
replacement_beta1_partial_3fold,2025-09-18,dist_count_abs_disagreement,low,63675,1.6690596876444204,1.6690686429525594,8.955308139046991e-06,0.013327580835247141,0.01271482986322385,0.0006127509720232904,-2.98939678085315e-05
