arm,group,cohort,n,base,score,delta,base_offset,offset,correction_mean,correction_var,correction_residual_corr,shrink
ANNIV_SHIFTED,A,recent_nonbuyer,54583,1.5557014028260694,1.5547866199098814,-0.0009147829161879617,,,,,,
ANNIV_SHIFTED,A,rec_buy_15_60,39144,1.8861013320800646,1.8844116496455439,-0.0016896824345207229,,,,,,
ANNIV_SHIFTED,A,base_low,41732,1.3628304232131359,1.3618170721352905,-0.0010133510778453925,,,,,,
ANNIV_SHIFTED,A,base_mid,41366,1.9435145033875612,1.9420092879544943,-0.0015052154330668088,,,,,,
ANNIV_SHIFTED,A,base_high,41689,1.6537873901889344,1.6524904165808325,-0.0012969736081018812,,,,,,
ANNIV_SHIFTED,B,all,125213,1.6677722897960259,1.6659995409739103,-0.001772748822115533,-0.21209629964567853,-0.21167665107853595,-0.0002230185142377345,0.005096498586104196,0.04915747560515057,0.75
ANNIV_SHIFTED,B,target_zero,57466,1.5973071330837565,1.5925824271387363,-0.004724705945020169,,,,,,
ANNIV_SHIFTED,B,target_positive,67747,1.7252894336739262,1.725828714547714,0.0005392808737878507,,,,,,
ANNIV_SHIFTED,B,annual_buyer,45999,1.701391693478222,1.698835446420992,-0.00255624705723001,,,,,,
ANNIV_SHIFTED,B,annual_nonbuyer,79214,1.6479349963343775,1.6466314797406791,-0.0013035165936983173,,,,,,
ANNIV_SHIFTED,B,recent_buyer,70566,1.7521964253571733,1.749895330432388,-0.002301094924785252,,,,,,
ANNIV_SHIFTED,B,recent_nonbuyer,54647,1.5519756223815704,1.550965192613293,-0.0010104297682773655,,,,,,
ANNIV_SHIFTED,B,rec_buy_15_60,39577,1.8919128513214372,1.8902351125067607,-0.0016777388146764771,,,,,,
ANNIV_SHIFTED,B,base_low,41602,1.3494139993335277,1.3484147052741706,-0.0009992940593570587,,,,,,
ANNIV_SHIFTED,B,base_mid,41967,1.94959500339637,1.9477816752937565,-0.0018133281026135872,,,,,,
ANNIV_SHIFTED,B,base_high,41644,1.6473246580045477,1.6449085303127717,-0.0024161276917760155,,,,,,
