segment,exp,n,share,rmsle,auc,mse_share,d_rmsle,d_auc
rec_buy 61-180,ETX-01-S42,24231,0.12276381985925554,1.8236461468648155,0.656095119191818,0.13437696808436878,-0.00035669278826477857,0.0001939670454639275
rec_buy 61-180,SEQ-D3A-S42,24231,0.12276381985925554,1.8240028396530803,0.655901152146354,0.13392067425019305,0.0,0.0
rec_buy 61-180,SEQ-D3A-AVG3,24231,0.12276381985925554,1.8222258195807288,0.6574102936519953,0.13413548118244029,-0.0017770200723514762,0.0015091415056412982
rec_buy 61-180,SEQ-AVG3,24231,0.12276381985925554,1.8225168042990403,0.6572847020803776,0.13410908474711672,-0.0014860353540400162,0.0013835499340235646
rec_buy 61-180,SEQ-01-S42,24231,0.12276381985925554,1.8235801469983424,0.6562859837620407,0.13375587685586715,-0.0004226926547379328,0.0003848316156866982
rec_buy 61-180,SEQ-D3A-BASE-S42,24231,0.12276381985925554,1.8245767421657324,0.654929252269435,0.1337433429182234,0.0005739025126521025,-0.0009718998769190357
rec_buy 61-180,S1-DIST-MIX,24231,0.12276381985925554,1.8219591420617651,0.658688062382313,0.13411751991282042,-0.0020436975913151745,0.002786910235959006
rec_buy 61-180,SEQ-01-MIX,24231,0.12276381985925554,1.8207425416470486,0.659277330980596,0.1340795613964318,-0.00326029800603167,0.0033761788342420163
rec_buy 61-180,SEQAVG3-CLIP-MIX,24231,0.12276381985925554,1.8206188790401385,0.659383665935793,0.1341402934255691,-0.003383960612941772,0.003482513789438979
rec_buy 180+,ETX-01-S42,5524,0.027986766575978195,1.5937440413935386,0.5750865224731396,0.023397161438669732,0.0009758693484991365,-0.00046333000048137674
rec_buy 180+,SEQ-D3A-S42,5524,0.027986766575978195,1.5927681720450395,0.575549852473621,0.023280059000960515,0.0,0.0
rec_buy 180+,SEQ-D3A-AVG3,5524,0.027986766575978195,1.5913975840884713,0.578605814419171,0.023322709384596865,-0.0013705879565681922,0.003055961945550023
rec_buy 180+,SEQ-AVG3,5524,0.027986766575978195,1.5896388270518453,0.5794076059860565,0.023259178517816913,-0.003129344993194172,0.0038577535124354467
rec_buy 180+,SEQ-01-S42,5524,0.027986766575978195,1.5896543173913298,0.5814442782559104,0.02317132570981274,-0.0031138546537097245,0.005894425782289381
rec_buy 180+,SEQ-D3A-BASE-S42,5524,0.027986766575978195,1.5927263835593124,0.5816237255473552,0.023233390164397526,-0.000041788485727112246,0.006073873073734193
rec_buy 180+,S1-DIST-MIX,5524,0.027986766575978195,1.5874915451533091,0.5863334904405267,0.02321204591581495,-0.005276626891730363,0.010783637966905735
rec_buy 180+,SEQ-01-MIX,5524,0.027986766575978195,1.5867114530029425,0.5868046303939758,0.02321366681446562,-0.006056719042097036,0.011254777920354786
rec_buy 180+,SEQAVG3-CLIP-MIX,5524,0.027986766575978195,1.5868395987119401,0.5851405655314083,0.023231088517652244,-0.005928573333099374,0.009590713057787248
никогда не покупал,ETX-01-S42,20384,0.103273397879207,1.1810505891888972,0.6312664028041919,0.04741314518446672,-0.007275715233387103,0.02760373812592498
никогда не покупал,SEQ-D3A-S42,20384,0.103273397879207,1.1883263044222843,0.6036626646782669,0.047817415744277954,0.0,0.0
никогда не покупал,SEQ-D3A-AVG3,20384,0.103273397879207,1.1846760277593618,0.6128277441515776,0.04769320999088243,-0.0036502766629225025,0.009165079473310689
никогда не покупал,SEQ-AVG3,20384,0.103273397879207,1.1852440577344776,0.6120085778150026,0.04771432256398753,-0.0030822466878066557,0.008345913136735716
никогда не покупал,SEQ-01-S42,20384,0.103273397879207,1.1872633415479124,0.6003410459390403,0.04769527443212208,-0.0010629628743719088,-0.0033216187392266505
никогда не покупал,SEQ-D3A-BASE-S42,20384,0.103273397879207,1.188618241551764,0.6013324691784565,0.0477475134870098,0.00029193712947983563,-0.0023301954998103946
никогда не покупал,S1-DIST-MIX,20384,0.103273397879207,1.183817808206937,0.625872229968296,0.04763169730304506,-0.004508496215347213,0.022209565290029043
никогда не покупал,SEQ-01-MIX,20384,0.103273397879207,1.1823296594780428,0.6256860664515886,0.047562069476359464,-0.005996644944241458,0.022023401773321738
никогда не покупал,SEQAVG3-CLIP-MIX,20384,0.103273397879207,1.1819541666268865,0.6267798503357798,0.04755985405569559,-0.006372137795397803,0.023117185657512862
w180_days_buy 0-1,ETX-01-S42,42698,0.21632493831663957,1.4658640784488557,0.6896388688041627,0.1529914960164239,-0.0029293144777502444,0.005303583695199898
w180_days_buy 0-1,SEQ-D3A-S42,42698,0.21632493831663957,1.468793392926606,0.6843352851089628,0.1530221229349532,0.0,0.0
w180_days_buy 0-1,SEQ-D3A-AVG3,42698,0.21632493831663957,1.4666567704244302,0.6869806217239526,0.15312018940413874,-0.0021366225021757224,0.0026453366149897795
w180_days_buy 0-1,SEQ-AVG3,42698,0.21632493831663957,1.4664496824751476,0.6870462905396661,0.15299796093770468,-0.002343710451458314,0.0027110054307033504
w180_days_buy 0-1,SEQ-01-S42,42698,0.21632493831663957,1.4681144004856055,0.6847532789183282,0.152763343230443,-0.0006789924410004478,0.0004179938093653579
w180_days_buy 0-1,SEQ-D3A-BASE-S42,42698,0.21632493831663957,1.4683258851408723,0.684309319136065,0.1526261714594235,-0.00046750778573367846,-0.000025965972897834533
w180_days_buy 0-1,S1-DIST-MIX,42698,0.21632493831663957,1.466538445515905,0.6896241115774249,0.1531197978803673,-0.0022549474107009804,0.005288826468462071
w180_days_buy 0-1,SEQ-01-MIX,42698,0.21632493831663957,1.4652407416120659,0.6906778989974048,0.1530099483159398,-0.0035526513145400784,0.006342613888442039
w180_days_buy 0-1,SEQAVG3-CLIP-MIX,42698,0.21632493831663957,1.4646979088447896,0.6908579169251248,0.1529866330019415,-0.00409548408181637,0.006522631816161972
w180_days_buy 16+,ETX-01-S42,43240,0.21907092446511534,1.4063790859897483,0.7388269145508876,0.14261422225279782,-0.007083421231435905,0.009395948961663847
w180_days_buy 16+,SEQ-D3A-S42,43240,0.21907092446511534,1.4134625072211842,0.7294309655892237,0.14350913305751878,0.0,0.0
w180_days_buy 16+,SEQ-D3A-AVG3,43240,0.21907092446511534,1.4072716251641937,0.7324304755005816,0.14276096976040403,-0.0061908820569904766,0.0029995099113578894
w180_days_buy 16+,SEQ-AVG3,43240,0.21907092446511534,1.4079749068761036,0.7313800897057391,0.14282995296448878,-0.005487600345080557,0.0019491241165153772
w180_days_buy 16+,SEQ-01-S42,43240,0.21907092446511534,1.4146699546527504,0.72616557878448,0.1436440923063439,0.0012074474315661998,-0.003265386804743753
w180_days_buy 16+,SEQ-D3A-BASE-S42,43240,0.21907092446511534,1.4193105479593335,0.7243364364073728,0.1444165990517421,0.005848040738149374,-0.0050945291818509375
w180_days_buy 16+,S1-DIST-MIX,43240,0.21907092446511534,1.4052390987498318,0.7409819414780084,0.14237149460420093,-0.00822340847135239,0.011550975888784731
w180_days_buy 16+,SEQ-01-MIX,43240,0.21907092446511534,1.404921912603909,0.7380948815729536,0.1424571401528653,-0.008540594617275188,0.008663915983729842
w180_days_buy 16+,SEQAVG3-CLIP-MIX,43240,0.21907092446511534,1.4040137029755058,0.7373093542647917,0.14235679732272258,-0.0094488042456784,0.007878388675568004
