method,outer_fold,fitting_folds,amount_bin,amount_bin_id,p0_bin,p0_lo,p0_hi,n_cell,weight_sum,c_raw,reliability,c_pre_isotonic,correction,eligible
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[30, 50)",4,4,0.675085335207546,inf,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[50, 100)",5,0,-inf,0.09814505402623849,44362,0.851979894674451,0.025378988409888906,0.6892576364935832,0.0,0.0,True
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[50, 100)",5,1,0.09814505402623849,0.25995290154379735,6371,0.11979248317724248,0.07412097497461777,0.24159114178453606,0.0,0.0,True
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[50, 100)",5,2,0.25995290154379735,0.4519348591464248,24,0.0004452789227316793,-0.7648683615636093,0.0011985617259288853,0.0,0.0,False
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[50, 100)",5,3,0.4519348591464248,0.675085335207546,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[50, 100)",5,4,0.675085335207546,inf,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[100, +inf)",6,0,-inf,0.09814505402623849,48396,0.9380875626416448,0.03271409294562081,0.7075852389028598,0.0,0.0,True
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[100, +inf)",6,1,0.09814505402623849,0.25995290154379735,379,0.00799503216542478,0.13196810123166064,0.01859757593601256,0.0,0.0,False
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[100, +inf)",6,2,0.25995290154379735,0.4519348591464248,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[100, +inf)",6,3,0.4519348591464248,0.675085335207546,0,0.0,0.0,0.0,0.0,0.0,False
