scheme,family,model,score,rank,delta_to_strongest,fold_scores,fold_deltas_to_strongest,folds_correct_sign
B_SURVIVOR_K3,incremental,SEQ_SLOT_25,1.7503089954477653,6,5.157620258589013e-05,"[1.7769837930915786, 1.7660334947219996, 1.7535622318281723, 1.741416902733527]","[-0.00014951693161791013, -9.603601952545837e-05, 2.1354312547128274e-06, 0.00013833628555515176]",2
B_SURVIVOR_K3,incremental,SEQ_SLOT_75,1.7503588192783108,7,0.00010140003313141577,"[1.7774643527116336, 1.766391330083145, 1.753703653847203, 1.7412900826134905]","[0.00033104268843708873, 0.00026179934162007257, 0.00014355745028549194, 1.1516165518754562e-05]",0
C_PSEUDO_MATCHED_3F,standalone,ETX-AVG3,1.743081950664802,1,0.0016536147221017927,"[1.7567532396580392, 1.747744695913189, 1.7373327557922995]","[0.002421991292605785, 0.00231522734264189, 0.001130714269205857]",0
C_PSEUDO_MATCHED_3F,standalone,SEQ-AVG3,1.7433110204269933,2,0.0018826844842929624,"[1.755581531971941, 1.747242180617788, 1.7382778124453588]","[0.001250283606507585, 0.001812712047240872, 0.0020757709222651854]",0
C_PSEUDO_MATCHED_3F,standalone,DIST,1.7444198645990436,3,0.002991528656343334,"[1.7574702466321916, 1.7483392291958795, 1.7391975867923386]","[0.0031389982667582306, 0.002909760625332325, 0.002995545269244948]",0
C_PSEUDO_MATCHED_3F,standalone,CAP,1.75317142208249,4,0.011743086139789805,"[1.7644151939972543, 1.7567296209990912, 1.7485813796454988]","[0.010083945631820912, 0.011300152428544097, 0.012379338122405104]",0
C_PSEUDO_MATCHED_3F,standalone,BTYD,1.7931957026520184,5,0.05176736670931814,"[1.8038717397623132, 1.7948393195978949, 1.789704884901506]","[0.04954049139687977, 0.04940985102734774, 0.05350284337841238]",0
C_PSEUDO_MATCHED_3F,reference,UNC,1.7457972846673289,1,0.004368948724628563,"[1.759117321936269, 1.7494010737889405, 1.7406653807892878]","[0.004786073570835603, 0.003971605218393348, 0.004463339266194133]",0
C_PSEUDO_MATCHED_3F,incremental,BTYD05_FRESH1,1.7408770301845853,1,-0.0005513057581150171,"[1.7537259861632928, 1.744693242024423, 1.73575668526999]","[-0.0006052622021406329, -0.0007362265461241524, -0.0004453562531037125]",3
C_PSEUDO_MATCHED_3F,incremental,BTYD05,1.7410886234067497,2,-0.00033971253595055373,"[1.7537355717206113, 1.7449039201260068, 1.736019237968656]","[-0.000595676644822074, -0.0005255484445403358, -0.00018280355443756058]",3
C_PSEUDO_MATCHED_3F,incremental,FRESH,1.741176572437111,3,-0.0002517635055891976,"[1.754257895038188, 1.745187693891999, 1.7359006810593984]","[-7.335332724545118e-05, -0.0002417746785481345, -0.0003013604636952216]",3
C_PSEUDO_MATCHED_3F,incremental,ZERO2D,1.7413720138526476,4,-5.632209005268507e-05,"[1.7543304234077308, 1.7453886325240024, 1.7361241021281992]","[-8.249577025942756e-07, -4.083604654470108e-05, -7.793939489442181e-05]",3
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_25,1.7413886994064194,5,-3.963653628091812e-05,"[1.7541727428607625, 1.7453027974680126, 1.736235639512037]","[-0.00015850550467089164, -0.00012667110253450353, 3.3597988943423474e-05]",2
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_50,1.7414283359427003,6,0.0,"[1.7543312483654334, 1.7454294685705471, 1.7362020415230937]","[0.0, 0.0, 0.0]",0
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_75,1.7416239082168516,7,0.00019557227415134548,"[1.754670159065551, 1.745722400973298, 1.7363130991264537]","[0.0003389107001174896, 0.00029293240275074517, 0.0001110576033600541]",0
