model,feature,gain,split,gain_share
D1-production,w7_lgmv_mean,0.0,0.0,0.0
D1-production,w7_lgmv,0.0,0.0,0.0
D1-production,w7_gmv_per_day,0.0,0.0,0.0
D1-production,w7_gmv_max,0.0,0.0,0.0
D1-production,w7_gmv_cat,0.0,0.0,0.0
D1-production,w7_gmv30eq,0.0,0.0,0.0
D1-production,w7_gmv,0.0,0.0,0.0
D1-production,w7_days_search,0.0,0.0,0.0
D1-production,w90_buyday_rate,0.0,0.0,0.0
D1-production,w7_srch2cart,0.0,0.0,0.0
D1-production,w7_srch_per_day,0.0,0.0,0.0
D1-production,w7_searches,0.0,0.0,0.0
D1-production,w7_orders,0.0,0.0,0.0
D1-production,w7_presence_rate,0.0,0.0,0.0
D1-production,w7_ponly_share,0.0,0.0,0.0
D1-production,w90_days_cart,0.0,0.0,0.0
D1-production,w90_days_cat,0.0,0.0,0.0
D1-production,w90_carts,0.0,0.0,0.0
D1-production,w90_cat_gmv_share,0.0,0.0,0.0
D1-production,w90_cart2ord,0.0,0.0,0.0
D1-production,w90_gmv_cat,0.0,0.0,0.0
D1-production,w90_days_search,0.0,0.0,0.0
D1-production,w90_gmv,0.0,0.0,0.0
D1-production,w90_lgmv,0.0,0.0,0.0
D1-production,w90_gmv_per_day,0.0,0.0,0.0
D1-production,w90_gmv30eq,0.0,0.0,0.0
D1-production,w90_ponly_share,0.0,0.0,0.0
D1-production,w90_presence_rate,0.0,0.0,0.0
D1-production,w90_srch2cart,0.0,0.0,0.0
D1-production,w90_srch_per_day,0.0,0.0,0.0
D1-production,weekend_share,0.0,0.0,0.0
