scheme,model,cutoff,rmsle_cal,offset
primary_t10_clip4,S1-ROUNDS,2025-09-04,1.7677501692400683,-0.07170975998463362
primary_t10_clip4,S1-ROUNDS,2025-09-18,1.7787672047636394,-0.04816142760349349
primary_t10_clip4,S1-ROUNDS,2025-10-02,1.7663464819592987,-0.03455514590462574
primary_t10_clip4,S1-ROUNDS,2025-10-16,1.751325347658706,-0.04019546365710971
primary_t10_clip4,S1-SEEDAVG3,2025-09-04,1.7669295126000504,-0.07248625410828605
primary_t10_clip4,S1-SEEDAVG3,2025-09-18,1.77770980632074,-0.04842033047762228
primary_t10_clip4,S1-SEEDAVG3,2025-10-02,1.7657435273965436,-0.034345708315627846
primary_t10_clip4,S1-SEEDAVG3,2025-10-16,1.7508909908691832,-0.041266385833560223
primary_t10_clip4,SEQ-01-S42,2025-09-04,1.767512476147465,-0.03987462191646764
primary_t10_clip4,SEQ-01-S42,2025-09-18,1.7794008466459619,-0.03840004055303067
primary_t10_clip4,SEQ-01-S42,2025-10-02,1.7668889419933556,0.019046976097365127
primary_t10_clip4,SEQ-01-S42,2025-10-16,1.753613437962768,0.030246982930112402
primary_t10_clip4,S1-DIST-MIX,2025-09-04,1.765615942510272,-0.10811180571118234
primary_t10_clip4,S1-DIST-MIX,2025-09-18,1.7763935935132795,-0.07430845065215481
primary_t10_clip4,S1-DIST-MIX,2025-10-02,1.7648908846881954,-0.04624330310346222
primary_t10_clip4,S1-DIST-MIX,2025-10-16,1.7501638497444751,-0.061364179906223525
primary_t10_clip4,SEQ-01-MIX,2025-09-04,1.7641881644678419,-0.08782382340149553
primary_t10_clip4,SEQ-01-MIX,2025-09-18,1.775229194699079,-0.06396561469186628
primary_t10_clip4,SEQ-01-MIX,2025-10-02,1.7633950853000424,-0.02798311501832543
primary_t10_clip4,SEQ-01-MIX,2025-10-16,1.7490823141250487,-0.03533696237556945
primary_t10_clip4,SEQ-MIX-ROUNDS-CONTROL,2025-09-04,1.7641485405380943,-0.08691427497446745
primary_t10_clip4,SEQ-MIX-ROUNDS-CONTROL,2025-09-18,1.7752265249860073,-0.06313275701404747
primary_t10_clip4,SEQ-MIX-ROUNDS-CONTROL,2025-10-02,1.7633972659392902,-0.02771648253817293
primary_t10_clip4,SEQ-MIX-ROUNDS-CONTROL,2025-10-16,1.749088384486144,-0.035392731673362654
primary_t10_clip10,S1-E10,2025-09-04,1.7597681849739795,-0.07631869867829114
primary_t10_clip10,S1-E10,2025-09-18,1.7780656043183902,-0.061278728813243026
primary_t10_clip10,S1-E10,2025-10-02,1.764159825070732,-0.034747751371690554
primary_t10_clip10,S1-E10,2025-10-16,1.7314895707711162,-0.04027094419208084
primary_t10_clip10,S1-E02,2025-09-04,1.7594569460220102,-0.18392429363882482
primary_t10_clip10,S1-E02,2025-09-18,1.7776170715041988,-0.1354557025223939
primary_t10_clip10,S1-E02,2025-10-02,1.7659799001394558,-0.05539375986925243
primary_t10_clip10,S1-E02,2025-10-16,1.732892645614753,-0.08895858977033115
primary_t10_clip10,S1-E03a,2025-09-04,1.7640320272999241,-0.10890828175302475
primary_t10_clip10,S1-E03a,2025-09-18,1.783998225803918,-0.09460432081798471
primary_t10_clip10,S1-E03a,2025-10-02,1.7718612319166065,-0.09478419922537999
primary_t10_clip10,S1-E03a,2025-10-16,1.740829537305987,-0.12251615751109637
primary_t10_clip10,S1-DIST,2025-09-04,1.7579102093558152,-0.06936485001239877
primary_t10_clip10,S1-DIST,2025-09-18,1.775546012870347,-0.054567579102586125
primary_t10_clip10,S1-DIST,2025-10-02,1.7633057123313596,-0.035505171097573965
primary_t10_clip10,S1-DIST,2025-10-16,1.730849842980921,-0.04519726226183741
primary_t10_clip10,S1-ROUNDS,2025-09-04,1.7587211150050572,-0.0708715321641136
primary_t10_clip10,S1-ROUNDS,2025-09-18,1.7771255442631546,-0.055761549020487855
