segment,exp,arm,lam,n,share,mse_share,rmsle,auc,d_vs_BASE,d_vs_BUYCTRL,d_auc_vs_BASE
rec_buy 0-7,FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,66561,0.337224324776192,0.3012150621265148,1.650180544862996,0.8105262728904663,-0.002568480014658814,,0.0006725592182035278
rec_buy 0-7,FNL-CART-L10-S42,CART,0.1,66561,0.337224324776192,0.30150638512756994,1.6510314041541345,0.8096968154394271,-0.00171762072352033,0.0008508592911384838,-0.00015689823283571158
rec_buy 0-7,FNL-BASER2-L00-S42,BASE-R2,0.0,66561,0.337224324776192,0.30162716184558575,1.6526625186023989,0.8084872915345581,-0.00008650627525597088,,-0.0013664221377046593
rec_buy 61-180,FNL-BASE-L00-S42,BASE,0.0,24231,0.12276381985925554,0.133850840901177,1.8243199897756677,0.6549125077044802,0.0,,0.0
rec_buy 61-180,FNL-FUNNEL-L30-S42,FUNNEL,0.3,24231,0.12276381985925554,0.1340912368962169,1.8257894679311917,0.6544008376595137,0.0014694781555240066,0.0018903065949629205,-0.0005116700449664391
rec_buy 61-180,FNL-BUYCTRL-L30-S42,BUYCTRL,0.3,24231,0.12276381985925554,0.13397614595985735,1.8238991613362288,0.6568061031012813,-0.0004208284394389139,,0.0018935953968011177
rec_buy 61-180,FNL-CART-L30-S42,CART,0.3,24231,0.12276381985925554,0.13387191858548414,1.824753185166299,0.6547746602554908,0.0004331953906313579,0.0008540238300702718,-0.00013784744898936996
rec_buy 61-180,FNL-FUNNEL-L10-S42,FUNNEL,0.1,24231,0.12276381985925554,0.1340189940179152,1.8242326016840174,0.655087258473036,-0.00008738809165032002,0.00031117892772147826,0.00017475076855577587
rec_buy 61-180,FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,24231,0.12276381985925554,0.1339607306972829,1.8239214227562959,0.6556572667876696,-0.0003985670193717983,,0.0007447590831893836
rec_buy 61-180,FNL-CART-L10-S42,CART,0.1,24231,0.12276381985925554,0.13408375575361214,1.8248173879193548,0.6538669955515346,0.0004973981436871,0.0008959651630588983,-0.0010455121529455713
rec_buy 61-180,FNL-BASER2-L00-S42,BASE-R2,0.0,24231,0.12276381985925554,0.13391995996598677,1.8251386394142277,0.6544764485750281,0.0008186496385600428,,-0.00043605912945210434
w180_days_buy 0-1,FNL-BASE-L00-S42,BASE,0.0,42698,0.21632493831663957,0.15291559249366074,1.4689203693416826,0.6836629610376461,0.0,,0.0
w180_days_buy 0-1,FNL-FUNNEL-L30-S42,FUNNEL,0.3,42698,0.21632493831663957,0.15288111448187972,1.468619605097791,0.6834470282363967,-0.0003007642438914715,0.0009960290953325845,-0.00021593280124942993
w180_days_buy 0-1,FNL-BUYCTRL-L30-S42,BUYCTRL,0.3,42698,0.21632493831663957,0.15285913153107467,1.4676235760024585,0.6844693144585469,-0.001296793339224056,,0.0008063534209007406
w180_days_buy 0-1,FNL-CART-L30-S42,CART,0.3,42698,0.21632493831663957,0.15280079437482205,1.4686019313577707,0.6841621263402307,-0.00031843798391184563,0.0009783553553122104,0.0004991653025845366
w180_days_buy 0-1,FNL-FUNNEL-L10-S42,FUNNEL,0.1,42698,0.21632493831663957,0.1526721233087762,1.4667591673603195,0.6865389488901987,-0.002161201981363048,-0.001849311004218146,0.0028759878525526084
w180_days_buy 0-1,FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,42698,0.21632493831663957,0.15304301629626801,1.4686084783645377,0.6824423157631161,-0.0003118909771449019,,-0.00122064527453003
w180_days_buy 0-1,FNL-CART-L10-S42,CART,0.1,42698,0.21632493831663957,0.15282374866622364,1.467603213212031,0.6863048824087337,-0.0013171561296516643,-0.0010052651525067624,0.002641921371087541
w180_days_buy 0-1,FNL-BASER2-L00-S42,BASE-R2,0.0,42698,0.21632493831663957,0.15269125784548257,1.468122156026283,0.6846328211577224,-0.0007982133153996429,,0.0009698601200762713
w180_days_buy 16+,FNL-BASE-L00-S42,BASE,0.0,43240,0.21907092446511534,0.14349132152975388,1.4139892534901926,0.7303775242609098,0.0,,0.0
w180_days_buy 16+,FNL-FUNNEL-L30-S42,FUNNEL,0.3,43240,0.21907092446511534,0.14349782566059144,1.4138911806325478,0.7263954645134282,-0.00009807285764473761,0.0012813176125441306,-0.00398205974748167
w180_days_buy 16+,FNL-BUYCTRL-L30-S42,BUYCTRL,0.3,43240,0.21907092446511534,0.14341172157991078,1.4126098630200037,0.726466937638951,-0.0013793904701888682,,-0.003910586621958867
w180_days_buy 16+,FNL-CART-L30-S42,CART,0.3,43240,0.21907092446511534,0.14412083836581285,1.4173124519865332,0.724723453337903,0.0033231984963406624,0.004702588966529531,-0.005654070923006849
w180_days_buy 16+,FNL-FUNNEL-L10-S42,FUNNEL,0.1,43240,0.21907092446511534,0.14327977121394755,1.411992213993647,0.7274614957211698,-0.001997039496545616,0.00018686431589287622,-0.0029160285397400454
w180_days_buy 16+,FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,43240,0.21907092446511534,0.14322843717300154,1.411805349677754,0.7288282926454115,-0.0021839038124384924,,-0.0015492316154983587
w180_days_buy 16+,FNL-CART-L10-S42,CART,0.1,43240,0.21907092446511534,0.14383502264052841,1.4148372210030065,0.7258664693777861,0.0008479675128139075,0.0030318713252524,-0.004511054883123755
w180_days_buy 16+,FNL-BASER2-L00-S42,BASE-R2,0.0,43240,0.21907092446511534,0.14344531971267768,1.4140319474244805,0.7291519613214953,0.000042693934287907354,,-0.0012255629394145595
